u_A,merchant_A_presence,merchant_B_presence,merchant_A_only,merchant_B_only,merchant_multi,L_A,concentration,total_subsidy_spend,step,seed,experiment,multi_home_cost,rho,scenario_label,u0,m0,allow_multi_home,multi_home_share
0.8,0.8,0.2,0.8,0.2,0.0,0.8,0.6000000000000001,0.0,0,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.725,0.625,0.375,0.35,0.1,0.55,0.675,0.35,0.0,1,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.6425,0.45,0.55,0.2,0.3,0.5,0.54625,0.19249999999999995,0.0,2,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.49,0.45,0.55,0.2,0.3,0.5,0.47,0.06,0.0,3,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5025,0.4,0.6,0.2,0.4,0.4,0.45125,0.10249999999999992,0.0,4,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4525,0.475,0.525,0.25,0.3,0.45,0.46375,0.07250000000000001,0.0,5,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.525,0.375,0.625,0.1,0.35,0.55,0.45,0.15000000000000002,0.0,6,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.41,0.475,0.525,0.2,0.25,0.55,0.4425,0.11500000000000005,0.0,7,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.425,0.425,0.575,0.2,0.35,0.45,0.425,0.15000000000000002,0.0,8,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4275,0.55,0.45,0.3,0.2,0.5,0.48875,0.12250000000000005,0.0,9,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4925,0.4,0.6,0.1,0.3,0.6,0.44625000000000004,0.10749999999999998,0.0,10,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.395,0.55,0.45,0.35,0.25,0.4,0.47250000000000003,0.15500000000000003,0.0,11,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4675,0.75,0.25,0.6,0.1,0.3,0.60875,0.2825,0.0,12,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5975,0.7,0.3,0.5,0.1,0.4,0.6487499999999999,0.2975,0.0,13,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.695,0.5,0.5,0.2,0.2,0.6,0.5974999999999999,0.19499999999999995,0.0,14,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.54,0.575,0.425,0.3,0.15,0.55,0.5575,0.11499999999999999,0.0,15,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.575,0.45,0.55,0.15,0.25,0.6,0.5125,0.12499999999999994,0.0,16,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.465,0.575,0.425,0.35,0.2,0.45,0.52,0.10999999999999993,0.0,17,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.525,0.625,0.375,0.4,0.15,0.45,0.575,0.15000000000000002,0.0,18,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5775,0.625,0.375,0.45,0.2,0.35,0.6012500000000001,0.2025,0.0,19,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.6025,0.65,0.35,0.35,0.05,0.6,0.62625,0.25250000000000006,0.0,20,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.615,0.625,0.375,0.45,0.2,0.35,0.62,0.24,0.0,21,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.6125,0.675,0.325,0.45,0.1,0.45,0.64375,0.2875000000000001,0.0,22,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.6375,0.575,0.425,0.35,0.2,0.45,0.60625,0.2124999999999999,0.0,23,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5725,0.6,0.4,0.35,0.15,0.5,0.5862499999999999,0.1725,0.0,24,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.58,0.5,0.5,0.15,0.15,0.7,0.54,0.07999999999999996,0.0,25,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.545,0.575,0.425,0.3,0.15,0.55,0.56,0.12,0.0,26,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5525,0.525,0.475,0.3,0.25,0.45,0.5387500000000001,0.07750000000000001,0.0,27,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5525,0.45,0.55,0.05,0.15,0.8,0.50125,0.10249999999999998,0.0,28,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4775,0.55,0.45,0.2,0.1,0.7,0.51375,0.07250000000000006,0.0,29,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.505,0.575,0.425,0.35,0.2,0.45,0.54,0.07999999999999996,0.0,30,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5475,0.575,0.425,0.3,0.15,0.55,0.56125,0.12249999999999994,0.0,31,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.54,0.6,0.4,0.35,0.15,0.5,0.5700000000000001,0.14,0.0,32,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5825,0.625,0.375,0.35,0.1,0.55,0.60375,0.20750000000000002,0.0,33,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.575,0.55,0.45,0.25,0.15,0.6,0.5625,0.125,0.0,34,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.565,0.475,0.525,0.2,0.25,0.55,0.52,0.08999999999999997,0.0,35,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5,0.45,0.55,0.15,0.25,0.6,0.475,0.04999999999999999,0.0,36,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4775,0.475,0.525,0.25,0.3,0.45,0.47624999999999995,0.04750000000000004,0.0,37,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4825,0.55,0.45,0.25,0.15,0.6,0.51625,0.06750000000000006,0.0,38,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.52,0.575,0.425,0.35,0.2,0.45,0.5475,0.09499999999999997,0.0,39,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5075,0.325,0.675,0.1,0.45,0.45,0.41625,0.18249999999999994,0.0,40,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.39,0.45,0.55,0.1,0.2,0.7,0.42000000000000004,0.15999999999999998,0.0,41,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4575,0.525,0.475,0.3,0.25,0.45,0.49125,0.0675,0.0,42,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5175,0.525,0.475,0.2,0.15,0.65,0.52125,0.04249999999999998,0.0,43,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.525,0.35,0.65,0.0,0.3,0.7,0.4375,0.17500000000000004,0.0,44,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4225,0.5,0.5,0.2,0.2,0.6,0.46125,0.07750000000000001,0.0,45,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4675,0.475,0.525,0.15,0.2,0.65,0.47125,0.057499999999999996,0.0,46,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5175,0.45,0.55,0.25,0.35,0.4,0.48375,0.06749999999999995,0.0,47,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4875,0.55,0.45,0.2,0.1,0.7,0.51875,0.06250000000000006,0.0,48,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.525,0.375,0.625,0.2,0.45,0.35,0.45,0.15000000000000002,0.0,49,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4725,0.45,0.55,0.2,0.3,0.5,0.46125,0.07750000000000001,0.0,50,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.435,0.575,0.425,0.3,0.15,0.55,0.505,0.13999999999999996,0.0,51,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.51,0.5,0.5,0.2,0.2,0.6,0.505,0.010000000000000009,0.0,52,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5125,0.475,0.525,0.15,0.2,0.65,0.49374999999999997,0.03749999999999998,0.0,53,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4975,0.575,0.425,0.3,0.15,0.55,0.53625,0.07749999999999996,0.0,54,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.55,0.475,0.525,0.1,0.15,0.75,0.5125,0.07500000000000007,0.0,55,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4775,0.6,0.4,0.3,0.1,0.6,0.53875,0.1225,0.0,56,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.59,0.625,0.375,0.45,0.2,0.35,0.6074999999999999,0.21499999999999997,0.0,57,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.6075,0.475,0.525,0.15,0.2,0.65,0.54125,0.13250000000000006,0.0,58,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5375,0.6,0.4,0.35,0.15,0.5,0.56875,0.13749999999999996,0.0,59,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5975,0.525,0.475,0.25,0.2,0.55,0.56125,0.12250000000000005,0.0,60,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5425,0.45,0.55,0.15,0.25,0.6,0.49624999999999997,0.09249999999999997,0.0,61,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4625,0.425,0.575,0.2,0.35,0.45,0.44375,0.11249999999999999,0.0,62,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.45,0.45,0.55,0.15,0.25,0.6,0.45,0.09999999999999998,0.0,63,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4325,0.3,0.7,0.05,0.45,0.5,0.36624999999999996,0.2675,0.0,64,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.3375,0.6,0.4,0.35,0.15,0.5,0.46875,0.26249999999999996,0.0,65,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.555,0.5,0.5,0.2,0.2,0.6,0.5275000000000001,0.05500000000000005,0.0,66,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.51,0.575,0.425,0.25,0.1,0.65,0.5425,0.08499999999999996,0.0,67,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5775,0.45,0.55,0.2,0.3,0.5,0.51375,0.1275,0.0,68,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.505,0.625,0.375,0.4,0.15,0.45,0.565,0.13,0.0,69,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5975,0.625,0.375,0.35,0.1,0.55,0.6112500000000001,0.22250000000000003,0.0,70,5700,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.8,0.8,0.2,0.8,0.2,0.0,0.8,0.6000000000000001,0.0,0,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.775,0.825,0.175,0.7,0.05,0.25,0.8,0.6,0.0,1,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.7675,0.55,0.45,0.25,0.15,0.6,0.65875,0.3175,0.0,2,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.6325,0.575,0.425,0.25,0.1,0.65,0.60375,0.2074999999999999,0.0,3,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5825,0.525,0.475,0.25,0.2,0.55,0.55375,0.10750000000000004,0.0,4,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5375,0.6,0.4,0.3,0.1,0.6,0.56875,0.13749999999999996,0.0,5,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.56,0.55,0.45,0.25,0.15,0.6,0.555,0.1100000000000001,0.0,6,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5725,0.475,0.525,0.2,0.25,0.55,0.5237499999999999,0.09750000000000003,0.0,7,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4875,0.45,0.55,0.15,0.25,0.6,0.46875,0.0625,0.0,8,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.52,0.5,0.5,0.25,0.25,0.5,0.51,0.020000000000000018,0.0,9,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5275,0.425,0.575,0.1,0.25,0.65,0.47624999999999995,0.10249999999999998,0.0,10,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.465,0.375,0.625,0.15,0.4,0.45,0.42000000000000004,0.15999999999999998,0.0,11,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4125,0.45,0.55,0.15,0.25,0.6,0.43125,0.1375,0.0,12,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4825,0.475,0.525,0.15,0.2,0.65,0.47875,0.04250000000000004,0.0,13,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4275,0.6,0.4,0.3,0.1,0.6,0.5137499999999999,0.1725,0.0,14,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.56,0.35,0.65,0.1,0.4,0.5,0.455,0.21000000000000008,0.0,15,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4075,0.3,0.7,0.05,0.45,0.5,0.35375,0.29250000000000004,0.0,16,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.35,0.475,0.525,0.15,0.2,0.65,0.4125,0.17500000000000004,0.0,17,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.475,0.575,0.425,0.2,0.05,0.75,0.5249999999999999,0.09999999999999998,0.0,18,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5425,0.55,0.45,0.15,0.05,0.8,0.54625,0.09250000000000003,0.0,19,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.51,0.45,0.55,0.15,0.25,0.6,0.48,0.06,0.0,20,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.51,0.525,0.475,0.25,0.2,0.55,0.5175000000000001,0.03500000000000003,0.0,21,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.485,0.5,0.5,0.35,0.35,0.3,0.4925,0.015000000000000013,0.0,22,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5175,0.5,0.5,0.3,0.3,0.4,0.50875,0.01749999999999996,0.0,23,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4975,0.475,0.525,0.15,0.2,0.65,0.48624999999999996,0.027500000000000024,0.0,24,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4775,0.475,0.525,0.25,0.3,0.45,0.47624999999999995,0.04750000000000004,0.0,25,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4775,0.575,0.425,0.35,0.2,0.45,0.52625,0.09749999999999998,0.0,26,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5375,0.425,0.575,0.15,0.3,0.55,0.48124999999999996,0.11249999999999999,0.0,27,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.51,0.55,0.45,0.15,0.05,0.8,0.53,0.06000000000000005,0.0,28,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.555,0.45,0.55,0.15,0.25,0.6,0.5025000000000001,0.10500000000000004,0.0,29,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4925,0.5,0.5,0.2,0.2,0.6,0.49624999999999997,0.007500000000000007,0.0,30,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.525,0.5,0.5,0.2,0.2,0.6,0.5125,0.025000000000000022,0.0,31,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5,0.55,0.45,0.3,0.2,0.5,0.525,0.050000000000000044,0.0,32,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5375,0.425,0.575,0.1,0.25,0.65,0.48124999999999996,0.11249999999999999,0.0,33,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.465,0.425,0.575,0.05,0.2,0.75,0.445,0.10999999999999999,0.0,34,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.43,0.575,0.425,0.3,0.15,0.55,0.5025,0.14499999999999996,0.0,35,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5325,0.525,0.475,0.1,0.05,0.85,0.52875,0.057499999999999996,0.0,36,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5,0.425,0.575,0.15,0.3,0.55,0.4625,0.07500000000000001,0.0,37,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4525,0.55,0.45,0.2,0.1,0.7,0.50125,0.09750000000000003,0.0,38,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5475,0.6,0.4,0.3,0.1,0.6,0.57375,0.14749999999999996,0.0,39,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5675,0.65,0.35,0.3,0.0,0.7,0.60875,0.21750000000000003,0.0,40,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5775,0.45,0.55,0.25,0.35,0.4,0.51375,0.1275,0.0,41,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4825,0.475,0.525,0.2,0.25,0.55,0.47875,0.04250000000000004,0.0,42,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.485,0.425,0.575,0.1,0.25,0.65,0.45499999999999996,0.09000000000000002,0.0,43,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4625,0.4,0.6,0.1,0.3,0.6,0.43125,0.13749999999999996,0.0,44,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4375,0.45,0.55,0.2,0.3,0.5,0.44375,0.11249999999999999,0.0,45,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.46,0.5,0.5,0.25,0.25,0.5,0.48,0.03999999999999998,0.0,46,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4725,0.625,0.375,0.4,0.15,0.45,0.54875,0.15250000000000002,0.0,47,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5525,0.375,0.625,0.1,0.35,0.55,0.46375,0.1775,0.0,48,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.43,0.575,0.425,0.3,0.15,0.55,0.5025,0.14499999999999996,0.0,49,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5425,0.5,0.5,0.2,0.2,0.6,0.52125,0.04249999999999998,0.0,50,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.495,0.45,0.55,0.1,0.2,0.7,0.47250000000000003,0.05499999999999999,0.0,51,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.48,0.475,0.525,0.15,0.2,0.65,0.4775,0.04500000000000004,0.0,52,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.46,0.5,0.5,0.15,0.15,0.7,0.48,0.03999999999999998,0.0,53,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.45,0.45,0.55,0.1,0.2,0.7,0.45,0.09999999999999998,0.0,54,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4275,0.425,0.575,0.1,0.25,0.65,0.42625,0.14750000000000002,0.0,55,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4075,0.4,0.6,0.1,0.3,0.6,0.40375,0.1925,0.0,56,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4125,0.525,0.475,0.3,0.25,0.45,0.46875,0.11250000000000004,0.0,57,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.45,0.525,0.475,0.25,0.2,0.55,0.48750000000000004,0.07500000000000001,0.0,58,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4725,0.675,0.325,0.35,0.0,0.65,0.57375,0.20250000000000007,0.0,59,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5575,0.575,0.425,0.3,0.15,0.55,0.5662499999999999,0.13249999999999995,0.0,60,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5425,0.525,0.475,0.25,0.2,0.55,0.53375,0.0675,0.0,61,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5325,0.45,0.55,0.2,0.3,0.5,0.49124999999999996,0.08249999999999996,0.0,62,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4875,0.575,0.425,0.35,0.2,0.45,0.53125,0.08749999999999997,0.0,63,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5775,0.55,0.45,0.3,0.2,0.5,0.56375,0.12750000000000006,0.0,64,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5725,0.525,0.475,0.2,0.15,0.65,0.5487500000000001,0.09750000000000003,0.0,65,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5475,0.65,0.35,0.4,0.1,0.5,0.59875,0.1975,0.0,66,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.6025,0.55,0.45,0.3,0.2,0.5,0.57625,0.15250000000000008,0.0,67,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.55,0.5,0.5,0.2,0.2,0.6,0.525,0.050000000000000044,0.0,68,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.525,0.5,0.5,0.35,0.35,0.3,0.5125,0.025000000000000022,0.0,69,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5025,0.4,0.6,0.1,0.3,0.6,0.45125,0.10249999999999992,0.0,70,5701,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.8,0.8,0.2,0.8,0.2,0.0,0.8,0.6000000000000001,0.0,0,5702,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.765,0.65,0.35,0.45,0.15,0.4,0.7075,0.41500000000000004,0.0,1,5702,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.6225,0.575,0.425,0.3,0.15,0.55,0.59875,0.1975,0.0,2,5702,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.6,0.5,0.5,0.25,0.25,0.5,0.55,0.09999999999999998,0.0,3,5702,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5575,0.475,0.525,0.1,0.15,0.75,0.51625,0.08250000000000002,0.0,4,5702,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.4625,0.6,0.4,0.2,0.0,0.8,0.53125,0.13749999999999996,0.0,5,5702,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5475,0.55,0.45,0.25,0.15,0.6,0.5487500000000001,0.09750000000000003,0.0,6,5702,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5125,0.625,0.375,0.35,0.1,0.55,0.56875,0.13749999999999996,0.0,7,5702,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5775,0.55,0.45,0.35,0.25,0.4,0.56375,0.12750000000000006,0.0,8,5702,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5275,0.575,0.425,0.25,0.1,0.65,0.55125,0.10249999999999992,0.0,9,5702,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.545,0.55,0.45,0.3,0.2,0.5,0.5475000000000001,0.09500000000000008,0.0,10,5702,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5425,0.6,0.4,0.3,0.1,0.6,0.57125,0.14249999999999996,0.0,11,5702,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
0.5675,0.45,0.55,0.2,0.3,0.5,0.50875,0.1175,0.0,12,5702,D_multi_home_paths,0.0,0.5,低成本-中等贡献,0.8,0.8,True,1.0
