b_u0,b_m0,seed,final_L,concentration,lock_state,success,time_to_success,total_subsidy_spend,roi,final_multi_share
0.05,0.2,5301,0.9975,0.995,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.2,5302,0.9975,0.995,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.2,5303,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.2,5304,0.97375,0.9475,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.2,5305,0.97375,0.9475,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.2,5306,0.94875,0.8975000000000001,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.2,5307,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.2,5308,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.2,5309,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.2,5310,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.2,5311,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.2,5312,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.2,5313,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.2,5314,0.97375,0.9475,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.2,5315,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.2,5316,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.2,5317,0.97375,0.9475,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.2,5318,0.95,0.9,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.2,5319,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.25,5300,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.25,5301,0.9975,0.995,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.25,5302,0.9975,0.995,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.25,5303,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.25,5304,0.97375,0.9475,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.25,5305,0.97375,0.9475,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.25,5306,0.94875,0.8975000000000001,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.25,5307,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.25,5308,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
